start_time;energy_delivered_kwh;controlled charging points;id_charger;end_time;end_charging_time;;;
03.04.2026 09:28 +0200;9;;P1-C010;03.04.2026 10:28 +0200;03.04.2026 10:21 +0200;;;
03.04.2026 09:56 +0200;12;;P1-C09;03.04.2026 17:56 +0200;03.04.2026 11:11 +0200;;;
03.04.2026 14:24 +0200;15;;P1-C014;03.04.2026 18:24 +0200;03.04.2026 15:54 +0200;;;
03.04.2026 15:56 +0200;23;;P1-C04;03.04.2026 23:56 +0200;03.04.2026 18:56 +0200;;;
03.04.2026 19:56 +0200;4.4;;P1-C02;03.04.2026 20:49 +0200;03.04.2026 20:49 +0200;;;
04.04.2026 14:00 +0200;1.5;;P1-C01;05.04.2026 08:00 +0200;04.04.2026 16:00 +0200;;;
04.04.2026 14:56 +0200;6;;P1-C010;04.04.2026 19:56 +0200;04.04.2026 15:56 +0200;;;
04.04.2026 18:48 +0200;6;;P1-C011;04.04.2026 19:33 +0200;04.04.2026 19:33 +0200;;;
04.04.2026 20:35 +0200;20;;P1-C010;04.04.2026 22:35 +0200;04.04.2026 22:35 +0200;;;
05.04.2026 08:26 +0200;47;;P1-C09;05.04.2026 20:26 +0200;05.04.2026 14:26 +0200;;;
05.04.2026 08:26 +0200;10;;P1-C012;05.04.2026 10:26 +0200;05.04.2026 10:26 +0200;;;
05.04.2026 12:24 +0200;18.7;;P1-C015;05.04.2026 14:54 +0200;05.04.2026 14:54 +0200;;;
05.04.2026 18:26 +0200;4;;P1-C08;06.04.2026 02:26 +0200;05.04.2026 18:57 +0200;;;
05.04.2026 19:26 +0200;5.1;;P1-C012;05.04.2026 20:19 +0200;05.04.2026 20:19 +0200;;;
06.04.2026 07:24 +0200;5;;P1-C015;06.04.2026 08:17 +0200;06.04.2026 08:17 +0200;;;
06.04.2026 14:26 +0200;16.1;;P1-C014;06.04.2026 21:26 +0200;06.04.2026 17:26 +0200;;;
06.04.2026 18:12 +0200;1.5;;P1-C07;07.04.2026 01:12 +0200;07.04.2026 01:12 +0200;;;
06.04.2026 21:14 +0200;4;;P1-C06;06.04.2026 23:14 +0200;06.04.2026 21:59 +0200;;;
07.04.2026 09:26 +0200;0.5;;P1-C08;07.04.2026 15:26 +0200;07.04.2026 11:26 +0200;;;
07.04.2026 14:28 +0200;6.9;;P1-C09;07.04.2026 16:58 +0200;07.04.2026 15:43 +0200;;;
07.04.2026 18:35 +0200;6.3;;P1-C02;07.04.2026 19:28 +0200;07.04.2026 19:28 +0200;;;
07.04.2026 20:48 +0200;3;;P1-C02;08.04.2026 04:48 +0200;07.04.2026 21:19 +0200;;;
07.04.2026 22:56 +0200;14.8;;P1-C08;08.04.2026 01:26 +0200;08.04.2026 01:26 +0200;;;
08.04.2026 09:28 +0200;5;;P1-C011;08.04.2026 10:13 +0200;08.04.2026 10:13 +0200;;;
08.04.2026 09:52 +0200;30;;P1-C01;08.04.2026 19:52 +0200;08.04.2026 12:52 +0200;;;
09.04.2026 08:28 +0200;5;;P1-C02;09.04.2026 09:43 +0200;09.04.2026 08:59 +0200;;;
09.04.2026 17:00 +0200;2.6;;P1-C011;09.04.2026 17:31 +0200;09.04.2026 17:31 +0200;;;
10.04.2026 09:58 +0200;6;;P1-C014;10.04.2026 10:43 +0200;10.04.2026 10:43 +0200;;;
10.04.2026 13:48 +0200;14;;P1-C013;10.04.2026 21:48 +0200;10.04.2026 15:18 +0200;;;
11.04.2026 07:14 +0200;36;;P1-C011;11.04.2026 15:14 +0200;11.04.2026 13:14 +0200;;;
11.04.2026 08:28 +0200;30.6;;P1-C014;11.04.2026 20:28 +0200;11.04.2026 14:28 +0200;;;
11.04.2026 09:12 +0200;20;;P1-C05;12.04.2026 03:12 +0200;11.04.2026 11:12 +0200;;;
11.04.2026 12:58 +0200;6;;P1-C03;11.04.2026 13:43 +0200;11.04.2026 13:43 +0200;;;
11.04.2026 16:48 +0200;21;;P1-C013;12.04.2026 04:48 +0200;11.04.2026 19:48 +0200;;;
11.04.2026 18:24 +0200;1.5;;P1-C02;11.04.2026 19:09 +0200;11.04.2026 19:09 +0200;;;
12.04.2026 12:18 +0200;7;;P1-C09;13.04.2026 03:18 +0200;12.04.2026 13:18 +0200;;;
12.04.2026 16:42 +0200;5;;P1-C011;12.04.2026 21:42 +0200;12.04.2026 17:13 +0200;;;
12.04.2026 17:18 +0200;3.2;;P1-C014;12.04.2026 17:49 +0200;12.04.2026 17:49 +0200;;;
12.04.2026 19:24 +0200;10;;P1-C01;13.04.2026 02:24 +0200;12.04.2026 20:24 +0200;;;
13.04.2026 08:00 +0200;27;;P1-C04;13.04.2026 11:00 +0200;13.04.2026 11:00 +0200;;;
13.04.2026 08:58 +0200;5;;P1-C07;13.04.2026 09:51 +0200;13.04.2026 09:51 +0200;;;
13.04.2026 13:24 +0200;17.9;;P1-C011;13.04.2026 15:54 +0200;13.04.2026 15:24 +0200;;;
13.04.2026 18:14 +0200;5;;P1-C07;14.04.2026 09:14 +0200;13.04.2026 18:45 +0200;;;
15.04.2026 19:56 +0200;16;;P1-C011;16.04.2026 02:56 +0200;15.04.2026 21:26 +0200;;;
16.04.2026 14:35 +0200;10;;P1-C015;16.04.2026 15:50 +0200;16.04.2026 15:50 +0200;;;
16.04.2026 17:52 +0200;12;;P1-C06;17.04.2026 03:52 +0200;16.04.2026 19:07 +0200;;;
17.04.2026 07:28 +0200;20.2;;P1-C014;17.04.2026 14:28 +0200;17.04.2026 11:28 +0200;;;
17.04.2026 07:48 +0200;4.5;;P1-C010;17.04.2026 09:03 +0200;17.04.2026 08:41 +0200;;;
17.04.2026 17:42 +0200;8;;P1-C014;18.04.2026 05:42 +0200;17.04.2026 19:12 +0200;;;
17.04.2026 17:42 +0200;43.1;;P1-C03;17.04.2026 22:42 +0200;17.04.2026 22:42 +0200;;;
18.04.2026 13:42 +0200;12;;P1-C011;18.04.2026 18:42 +0200;18.04.2026 17:42 +0200;;;
18.04.2026 14:12 +0200;18;;P1-C012;18.04.2026 18:52 +0200;18.04.2026 17:42 +0200;;;
19.04.2026 19:12 +0200;23;;P1-C013;19.04.2026 21:42 +0200;19.04.2026 20:42 +0200;;;
20.04.2026 07:28 +0200;0.5;;P1-C01;20.04.2026 07:59 +0200;20.04.2026 07:59 +0200;;;
21.04.2026 15:28 +0200;12;;P1-C013;21.04.2026 18:28 +0200;21.04.2026 18:01 +0200;;;
22.04.2026 13:42 +0200;20;;P1-C012;22.04.2026 20:45 +0200;22.04.2026 20:45 +0200;;;
29.04.2026 13:42 +0200;10;;P1-C012;29.04.2026 18:42 +0200;29.04.2026 17:42 +0200;;;
29.04.2026 15:42 +0200;20;;P1-C011;29.04.2026 17:52 +0200;29.04.2026 17:42 +0200;;;
29.04.2026 19:12 +0200;23;;P1-C013;29.04.2026 20:42 +0200;29.04.2026 20:42 +0200;;;
30.04.2026 07:28 +0200;14;;P1-C011;30.04.2026 07:59 +0200;30.04.2026 07:59 +0200;;;
30.04.2026 15:28 +0200;12;;P1-C011;30.04.2026 18:28 +0200;30.04.2026 18:01 +0200;;;
30.04.2026 13:42 +0200;7.8;;P1-C012;30.04.2026 20:45 +0200;30.04.2026 20:45 +0200;;;
01.05.2026 08:26 +0200;9;;P1-C014;01.05.2026 12:26 +0200;01.05.2026 12:26 +0200;;;
01.05.2026 07:14 +0200;0.5;;P1-C015;01.05.2026 14:26 +0200;01.05.2026 12:26 +0200;;;
01.05.2026 14:05 +0200;42;;P1-C012;01.05.2026 14:58 +0200;01.05.2026 14:58 +0200;;;
01.05.2026 14:58 +0200;52;;P1-C011;02.05.2026 10:56 +0200;02.05.2026 03:56 +0200;;;
02.05.2026 08:26 +0200;40;;P1-C014;03.05.2026 12:26 +0200;03.05.2026 12:26 +0200;;;
04.05.2026 07:14 +0200;12;;P1-C015;04.05.2026 18:26 +0200;04.05.2026 12:26 +0200;;;
06.05.2026 14:05 +0200;1;;P1-C012;06.05.2026 14:58 +0200;06.05.2026 14:58 +0200;;;
07.05.2026 14:58 +0200;52;;P1-C011;08.05.2026 08:56 +0200;08.05.2026 06:56 +0200;;;
17.04.2026 17:42 +0200;8;;P1-C014;18.04.2026 05:42 +0200;17.04.2026 19:12 +0200;;;
17.04.2026 17:42 +0200;43.1;;P1-C03;17.04.2026 22:42 +0200;17.04.2026 22:42 +0200;;;
;;;;;;;;
